case,mode,Et,final_p95_disp_mm,peak_p95_speed_mps,peak_speed_time_s,new_plastic_percent,max_delta_plastic_strain,max_robust_front_advance_mm
Et=0.10,single-stage,0.1,0.044100145405314685,0.0030128974243166,1.0709999999999924,11.129848229342327,4.52629987586624e-05,0.2408800959656
Et=0.15,single-stage,0.15,0.1272427358163,0.0063859003967285,1.0549999999999942,19.204737732656515,0.0001488681509118,0.37356238388490004
Et=0.20,single-stage,0.2,0.3134732372871,0.0111524438247299,1.0429999999999957,24.087178035663744,0.0004012391492125,0.9078691260882
Et=0.25,single-stage,0.25,0.6864529654189,0.0198863396254282,1.0409999999999957,30.526315789473685,0.0013815893282196,1.2521398371134
Et=0.30,single-stage,0.3,1.1418862830438,0.0280523936501606,1.0419999999999956,35.36480686695279,0.0018855408126099,2.1626905024411998
Et=0.10→0.30,progressive,0.3,0.8361304543999,0.0110048101077418,1.3489999999999618,33.76251788268956,0.0014783137050537,1.9781199198977002
