time_s,Et,n_mp,removed_total,mean_displacement_m,p95_displacement_m,p99_displacement_m,max_displacement_m,mean_speed_mps,p95_speed_mps,max_speed_mps,plastic_fraction_gt_1e4_percent,new_plastic_fraction_gt_1e5_percent,max_delta_plastic_strain,q999_downslope_displacement_m,max_downslope_displacement_m
2.147999999999874,0.3,3495,75,0.00041740851255230087,0.0009279986911735053,0.001538202636341315,0.002297407304091102,0.002155516775243367,0.0043260624725394575,0.006575229148049623,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018248257825223663,0.0019560640169409282
2.148999999999874,0.3,3495,75,0.00041759522146118483,0.0009275835945095528,0.0015387332903926082,0.0022988568155368054,0.002155169382109823,0.004286137966829832,0.006162232699606372,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018255562273898451,0.001956733905164043
2.149999999999874,0.3,3495,75,0.00041775888829465935,0.0009268536938942264,0.0015394612456487119,0.002300758099267586,0.002155346030024249,0.004259413405363945,0.006024356775714183,27.61087267525036,33.67668097281831,0.0014783137050537445,0.001826622095649994,0.001957769780474905
2.1509999999998737,0.3,3495,75,0.0004179004197487531,0.0009263947707890577,0.001540372129089211,0.002303082379838857,0.0021556590605170617,0.004256436997471084,0.006129701006227579,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018280063498240285,0.0019591562409004837
2.1519999999998736,0.3,3495,75,0.00041802094731083076,0.0009249344969953783,0.0015414488647812416,0.0023057938618959986,0.0021559213133634557,0.004267486841230381,0.006343930843648051,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018296872275259223,0.0019608727866113895
2.1529999999998735,0.3,3495,75,0.0004181217904747131,0.000923197410996859,0.0015426719442093628,0.0023088502345971684,0.0021550845283913223,0.004280949130670208,0.0067474426911136405,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018316385673547225,0.0019628940773550596
2.1539999999998733,0.3,3495,75,0.0004182044154556802,0.0009212352226508474,0.0015440223183697888,0.002312203283953023,0.002152029074903164,0.004300374035358321,0.007076813966657483,27.61087267525036,33.67668097281831,0.0014783137050537445,0.001833830198148973,0.0019651902499688845
2.1549999999998732,0.3,3495,75,0.0004182703914783444,0.0009206396166108537,0.0015455635125234746,0.00231579960546681,0.0021454539371125684,0.004321620605940248,0.007325901461947594,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018362283843308229,0.0019677272944669255
2.155999999999873,0.3,3495,75,0.0004183213459854292,0.0009198401555610765,0.0015471950631961572,0.002319581407902013,0.0021352284843999163,0.004371060947352727,0.007490729347899056,27.61087267525036,33.67668097281831,0.0014783137050537445,0.001838796319341142,0.0019704674869629457
2.156999999999873,0.3,3495,75,0.0004183589203509896,0.0009185538247882301,0.0015488896982305649,0.002323487397390093,0.002122223506271288,0.004399677853712898,0.00756920268860567,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018414946586624906,0.001973369877180886
2.157999999999873,0.3,3495,75,0.00041838472704871106,0.0009169497276565715,0.0015506189796622477,0.0023274537292887003,0.002106009530556861,0.004370375716141933,0.007560907958779255,27.61087267525036,33.67668097281831,0.0014783137050537445,0.001844282083680497,0.0019763908273198183
2.158999999999873,0.3,3495,75,0.00041840031452254503,0.0009153302547866366,0.0015523537442926412,0.0023314150134731803,0.0020865274054717637,0.0043227389307512595,0.007466957883026218,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018471158875763296,0.0019794845978466924
2.1599999999998727,0.3,3495,75,0.00041840714188625116,0.0009137094411007027,0.0015540645558407896,0.002335305356945365,0.002064667644378896,0.004286422981772015,0.007289857399684609,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018499525745758166,0.001982603974180819
2.1609999999998726,0.3,3495,75,0.000418406552844002,0.000911966405264092,0.0015557221620447624,0.0023390594261807553,0.0020417502431668184,0.0042243655936211365,0.007064151475987337,27.61087267525036,33.67668097281831,0.0014783137050537445,0.001852748464161515,0.0019857009266672776
2.1619999999998725,0.3,3495,75,0.00041839972955194025,0.0009101105615911455,0.0015572979504339295,0.002342613510264671,0.0020187867660091145,0.0041465290110982034,0.006878237575400302,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018554602922072909,0.0019887272944139056
2.1629999999998724,0.3,3495,75,0.0004183876737122543,0.0009083441520216199,0.00155876439686124,0.002345906565166965,0.00199753496811201,0.004151405616340716,0.006693617593598545,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018580458014830165,0.001991635482173848
2.1639999999998722,0.3,3495,75,0.00041837123705175546,0.00090668303168609,0.0015600955011477857,0.0023488812191396636,0.0019811958721585006,0.0041252674829956,0.006423311832507176,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018604160212882881,0.001994379158123394
2.164999999999872,0.3,3495,75,0.0004183511274788683,0.0009051409417409807,0.0015612672043870126,0.0023514847196217,0.0019705358117674075,0.0041198392165477,0.006340672335644425,27.61087267525036,33.67668097281831,0.0014783137050537445,0.001862563698658108,0.0019969139396565083
2.165999999999872,0.3,3495,75,0.0004183279329067625,0.0009037293352603315,0.0015622577825283996,0.0023536698030626226,0.001965084625311812,0.004095487162509863,0.006250920783335186,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018644860733252324,0.001999198054079443
2.166999999999872,0.3,3495,75,0.0004183021782917038,0.0009024572445979156,0.0015630482109031266,0.002355395470715052,0.0019658997943047905,0.004085980357507777,0.006145595664532142,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018661519084013218,0.00200119296138368
2.167999999999872,0.3,3495,75,0.0004182744225040022,0.0009013311927123537,0.0015636224942563758,0.002356627655762951,0.0019763479622186323,0.004090170101641675,0.0059869781170417795,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018675333347547333,0.0020028639272453574
2.1689999999998717,0.3,3495,75,0.0004182452577836819,0.0009004626500123409,0.00156396795689312,0.002357339769833666,0.0019958075593075214,0.004139862938428817,0.005961312580098705,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018686062278098642,0.002004180535745803
2.1699999999998716,0.3,3495,75,0.00041821529806582944,0.0008998498213081154,0.0015640754912278852,0.0023575131227022367,0.0020213118246618037,0.004228862112118692,0.006088635373823263,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018693505381517151,0.002005117135993828
2.1709999999998715,0.3,3495,75,0.00041818517120872326,0.0008989629980215445,0.0015639397426311522,0.0023571372115449756,0.002051146335168542,0.004352613404673379,0.0062396271039855,27.61087267525036,33.67668097281831,0.0014783137050537445,0.00186975055926255,0.002005653206165192
2.1719999999998714,0.3,3495,75,0.00041815549413630823,0.0008980835142246607,0.0015635592800244077,0.002356209837752146,0.002084706852644827,0.004462956085702835,0.006378061760044199,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018697951451239316,0.0020057736417697924
2.1729999999998713,0.3,3495,75,0.0004181268249392087,0.0008972910601854003,0.0015629366065377094,0.002354737149626959,0.002121336846746661,0.0045212274956006205,0.006499807527468878,27.61087267525036,33.67668097281831,0.0014783137050537445,0.00186943114425877,0.00200546896302356
2.173999999999871,0.3,3495,75,0.00041809964420360285,0.0008960356021880867,0.0015620782569582773,0.0023527334793589727,0.0021597281983491263,0.004569302885431725,0.006638919434718553,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018686342932676264,0.0020047354359853387
2.174999999999871,0.3,3495,75,0.00041807436557900646,0.000895752067428148,0.0015609947061832597,0.0023502211397637284,0.002200371556944214,0.0046404376452964516,0.006743344210094802,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018674560006025098,0.0020035751235774057
2.175999999999871,0.3,3495,75,0.00041805131402189823,0.0008959482024491874,0.0015597002303317053,0.002347230016324518,0.0022420617770446947,0.004752983024744843,0.006840097921123773,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018659052102962767,0.002001995839815862
2.176999999999871,0.3,3495,75,0.0004180306389823053,0.0008962096836795649,0.0015582127249494382,0.0023437970774864616,0.002281203419531088,0.004875936826398632,0.007036897690457268,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018639959044809236,0.0020000110319884357
2.1779999999998707,0.3,3495,75,0.0004180123157068542,0.0008965188119955536,0.0015565534320823662,0.002339965802480268,0.0023159686052962327,0.004952703149046319,0.007603284887748006,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018617469460542185,0.0019976396004786068
2.1789999999998706,0.3,3495,75,0.00041799619487972804,0.0008969031926879561,0.0015547466209515869,0.0023357855077663758,0.0023445657858720136,0.005023207917174282,0.008071518118159673,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018591818468196592,0.001994905645364753
2.1799999999998705,0.3,3495,75,0.0004179819966369747,0.0008976037768325595,0.0015528192044386667,0.0023313105948296305,0.002365819156376168,0.005061845311987857,0.008433203023618512,27.61087267525036,33.67668097281831,0.0014783137050537445,0.001856328468054805,0.0019918381488324144
2.1809999999998704,0.3,3495,75,0.00041796930198855734,0.0008982657531954825,0.001550800271693814,0.0023265997307222886,0.0023790853045102993,0.0051042653226854385,0.008681756988525089,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018532186562009723,0.0019884705974959616
2.1819999999998703,0.3,3495,75,0.00041795755338181297,0.0008988863484738883,0.0015487205978830698,0.0023217149726263834,0.0023841165493294837,0.005182965052449579,0.008812549565264605,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018498878175109105,0.0019848405485873855
2.18299999999987,0.3,3495,75,0.00041794605867366037,0.000899263904761429,0.0015466120971484453,0.0023167208479609918,0.002380679033034369,0.0051975366185991155,0.00882303546151077,27.61087267525036,33.67668097281831,0.0014783137050537445,0.001846374436889973,0.0019809891442719163
2.18399999999987,0.3,3495,75,0.00041793399991191065,0.0008991663551094923,0.0015445072360395472,0.0023116834015810576,0.002368241032396187,0.005222511555967822,0.008712878428896847,27.61087267525036,33.67668097281831,0.0014783137050537445,0.001842719547382187,0.0019769605785455724
2.18499999999987,0.3,3495,75,0.00041792044840843425,0.0008987666320371605,0.0015424384406612134,0.002306669221841951,0.002347263563525421,0.005202645414886422,0.008484072182603285,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018389661579539958,0.0019728015217026496
2.18599999999987,0.3,3495,75,0.00041790438381114826,0.0008981897669866889,0.001540437481296757,0.0023017444576837027,0.002318398417934684,0.005166156917969682,0.00814107466736657,27.61087267525036,33.67668097281831,0.0014783137050537445,0.001835158648320414,0.0019685605080610458
2.1869999999998697,0.3,3495,75,0.00041788471912679927,0.0008981054467427088,0.0015385348267045967,0.0022969738329093564,0.0022829929273864356,0.0051354861657716055,0.007691013333426741,27.61087267525036,33.67668097281831,0.0014783137050537445,0.001831342134869549,0.001964287291695399
2.1879999999998696,0.3,3495,75,0.00041786032779477303,0.0008981523247727028,0.0015367590808702662,0.0022924196743882813,0.0022429468886854317,0.005073233949269044,0.007302147465242106,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018275618285954894,0.001960032173684567
2.1889999999998695,0.3,3495,75,0.0004178300694048887,0.0008981633663480776,0.0015351365037482786,0.002288141009807474,0.0022003862913776563,0.004994018354774059,0.007502901043491147,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018238624042325752,0.0019558453381876006
2.1899999999998694,0.3,3495,75,0.00041779281991922377,0.0008981410432963169,0.0015336904211670597,0.002284192672806491,0.002159578834133019,0.004998212356924683,0.007667061723944097,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018202873635591356,0.0019517761633025543
2.1909999999998693,0.3,3495,75,0.00041774749881833413,0.0008980894779120609,0.0015324407948578644,0.0022806244605824283,0.002122342488563797,0.0049852718643156515,0.007793960318819933,27.61087267525036,33.67668097281831,0.0014783137050537445,0.001816878412116939,0.0019478725349202364
2.191999999999869,0.3,3495,75,0.0004176930937970289,0.0008980142667215917,0.0015314038418363313,0.0022774803744321057,0.0020884122063215722,0.004964166566702527,0.007883397491894381,27.61087267525036,33.67668097281831,0.0014783137050537445,0.0018136748717774757,0.0019441801803381509
