metric,static,quasi_static,relative_difference_percent
material_points,3570.0,3570.0,0.0
mean_displacement_m,0.01181111056261555,0.011837845363620297,0.2263529823297752
p95_displacement_m,0.02445905138028252,0.024498430821605577,0.161001507011848
max_displacement_m,0.025702891040792947,0.025741217034206707,0.14911160520010272
sigma_yy_min_kpa,-210.641796875,-211.510765625,0.412533866920847
sigma_yy_max_kpa,-0.15957829284667968,-0.09302806854248047,41.703807652673426
max_eq_plastic_strain,0.0,0.0,0.0
plastic_fraction_gt_1e4_percent,0.0,0.0,0.0
